ID_Venta,Producto,Ciudad,Categoria,Precio_Unitario,Cantidad,Fecha_Venta,Cliente,Email,Telefono,Direccion,Metodo_Pago,Estado,Comentario,Descuento,MacroCategoria,Total_Compra,Categoria_Cliente
28,smartphone,East Jonathan,TV,2400,22,11/20/2023,Daniel Garcia,edward94@example.org,419-330-3873,USS Fuller FPO AA 30334,Efectivo,Entregado,Producto defectuoso,21,Tecnología,52800,Regular
20,bloques,Trujillofort,spring,600,18,1/4/2023,Larry Welch,powersjimmy@example.org,175-317-5834,03346 Tony Spring Apt 633 Ericberg AK 73272,Efectivo,Entregado,Producto defectuoso,87,Juguetería,10800,VIP
25,freno,Nguyenshire,group,900,28,5/5/2023,Kelsey Lopez,estesjon@example.org,857-262-8794,493 Cameron Ramp Veronicatown MI 81010,Efectivo,En camino,Producto defectuoso,12,Automotriz,25200,VIP
9,bloques,South Thomas,budget,700,27,6/28/2023,Sharon Lowe,estesjon@example.org,594-337-5421,29882 Stein Tunnel Apt 468 Port Jacquelineville HI 77063,Efectivo,Entregado,Producto defectuoso,28,Juguetería,18900,Regular
9,smartphone,New Reginaldmouth,at,200,29,7/8/2023,Alan Bird,edward94@example.org,236-332-5014,30768 Louis Mill Lake Carmen LA 47934,Tarjeta,Entregado,Producto defectuoso,14,Tecnología,5800,VIP
5,cereal,Valerietown,whom,1300,27,6/28/2023,Crystal Chambers,estesjon@example.org,857-262-8794,283 Cynthia Groves Apt 671 Weavermouth ID 06739,Efectivo,Entregado,Producto defectuoso,19,Alimentos,35100,VIP
21,cereal,Lindaport,whom,1300,14,7/10/2023,David Norton,powersjimmy@example.org,857-262-8794,9978 Kenneth Plaza Suite 069 Monicafurt NM 39529,Efectivo,Entregado,Producto defectuoso,72,Alimentos,18200,VIP
10,tubería,Milesburgh,leader,200,11,6/6/2023,Michelle Mitchell,estesjon@example.org,280-504-6212,30768 Louis Mill Lake Carmen LA 47934,Tarjeta,Entregado,Producto defectuoso,19,construcción,2200,VIP
19,silla,Jodichester,budget,300,22,6/17/2023,Alan Bird,ydavid@example.com,105-592-6193,915 Mathis Camp Apt 447 Thomastown MS 44338,Tarjeta,Entregado,Sin comentario,27,Hogar,6600,VIP
17,silla,East Jonathan,individual,300,25,7/25/2023,Lisa Stafford,rdaugherty@example.net,870-860-8083,USS Fuller FPO AA 30334,Tarjeta,Entregado,Sin comentario,12,Hogar,7500,Regular
29,cereal,Valerietown,individual,300,27,4/14/2023,Juan Manning,matthew29@example.com,848-723-3346,664 Berger Rapid South Suzanne WV 68526,Efectivo,Entregado,Producto defectuoso,27,Alimentos,8100,Regular
